datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
20191023,DIA,268.24,268.12,268.9,267.36,1694174.0,0.5025950047181595,51.92259942922837,-0.0740532267330414,19.614587840707205,5.991935885855646
20191024,DIA,267.98,269.02,269.12,267.06,1845915.0,0.47877122041950315,51.640000810097234,0.8341437178212462,18.022298328234008,7.2516863045632824
20191025,DIA,269.6,267.72,270.12,267.625,1824644.0,0.5838805492975894,53.279043471906796,35.835059110857095,21.734656113850416,7.571498239348461
20191028,DIA,270.81,270.78,271.58,270.1868,1807543.0,0.7561014702214379,54.471335116115945,88.25643885732829,26.90098626897698,8.294386409970095
20191029,DIA,270.87,270.47,271.6,270.31,2883749.0,0.8872021749883743,54.53085700165195,90.68127426060833,26.971576632598453,7.077341029886213
20191030,DIA,271.74,270.87,271.99,269.88,2142848.0,1.049207545674733,55.4053686578914,98.88787833892275,24.214751419471487,7.277042981214365
20191031,DIA,270.48,271.57,271.66,269.07,3016200.0,1.0636652287404331,53.85356128416887,77.53802405485298,19.01153332861099,7.957911569354216
20191101,DIA,273.34,271.86,273.34,271.69,2988781.0,1.2910190803874002,56.70117341292201,143.40510836636113,25.89394299609531,7.696303421718227
20191104,DIA,274.55,274.73,275.05,273.96,1544123.0,1.5509570658044254,57.839816796370364,180.1647335728673,32.166070039515745,7.935006193379003
20191105,DIA,274.81,275.08,275.51,274.43,1702608.0,1.7576781989282608,58.084832567385085,173.12370641794612,33.77779233028753,7.962026835841993
20191106,DIA,274.8,275.02,275.21,273.99,1605545.0,1.898810959080265,58.071404800554504,151.3141689017728,30.604857841902817,7.587346689031875
20191107,DIA,277.05,276.5567,278.05,276.5567,3023068.0,2.167233367073038,60.212301172768804,188.62472140040376,40.364063763177235,7.189230839446175
20191108,DIA,277.07,277.16,277.24,276.05,1511997.0,2.3544334489241123,60.23097361083879,160.15695601987417,36.697639753469474,7.525976922367722
20191111,DIA,277.16,275.79,277.41,275.39,1728732.0,2.4814485164835673,60.3176668391005,141.43390746877336,31.900419495666064,7.433236167630813
20191112,DIA,277.29,277.43,277.99,276.64,1692201.0,2.563053500850856,60.446506379063436,140.5612192147985,34.07379357354438,7.625119639829883
20191113,DIA,278.05,276.34,278.4,276.17,2597097.0,2.6584072236360043,61.20820873259669,137.171154842808,30.466975791504158,7.432020172802879
20191114,DIA,278.23,277.88,278.32,277.09,1582396.0,2.7171782916456095,61.39037927579893,133.42604513134458,30.466975791504165,7.154131847013392
20191115,DIA,279.94,278.87,279.95,278.495,2363091.0,2.8686692618338157,63.09365972994173,146.71797898051614,37.16572963303928,7.203043121591367
20191118,DIA,280.27,279.76,280.36,279.61,1788673.0,2.9809921671170514,63.415859017381756,141.65383144393965,38.75227612295233,7.1628255827686615
20191119,DIA,279.33,280.83,280.84,278.87,1923570.0,2.9600372676425195,61.82538137462077,124.13066908462673,32.30687151129613,7.5914788902208095
20191120,DIA,278.2,278.64,278.9,276.72,2460753.0,2.8197445427819616,59.9554227168602,88.27742726638694,15.625420290553024,7.2845483456390525
20191121,DIA,277.72,278.33,278.42,277.16,1382106.0,2.6394041510218926,59.16901888724995,79.3549650827624,15.625420290553022,7.191885225716938
20191122,DIA,278.86,278.38,279.03,277.7901,1419120.0,2.5589733124517124,60.44375155917711,86.94954203201466,18.93888808018192,6.830794389911574
20191125,DIA,280.8,279.68,280.81,279.64,1810084.0,2.6215534439143653,62.50451622064379,111.72170163792443,27.784999632505038,7.381537324661412
20191126,DIA,281.36,281.07,281.58,280.6053,1282650.0,2.685380573192333,63.07889390659203,116.76696679794462,31.25413201972456,7.327786440379928
20191127,DIA,281.91,281.61,281.91,281.01,1779571.0,2.7486595995703738,63.64472133425877,116.2810159539186,32.734510199817485,7.860864846548004
20191129,DIA,280.95,281.3,281.57,280.84,811888.0,2.6903322316378535,61.93096551186035,101.07967284122456,31.17894263560229,7.6926115998893785
20191202,DIA,278.2,281.45,281.49,278.2,2542795.0,2.3946018752048417,57.35441630799682,66.415563151361,9.814835626541402,7.570358004148041
20191203,DIA,275.51,275.43,275.64,273.62,3834765.0,1.921028497655243,53.36397181384182,-13.24303653397018,15.658561653240119,7.74858034683243
20191204,DIA,277.05,277.0,277.76,276.61,1928437.0,1.6509521648439431,55.209546265257636,23.66618270309253,3.7502772613107376,7.59402885911587
20191205,DIA,277.36,277.86,277.86,276.1514,1448813.0,1.445268973440875,55.57564261406876,19.156183313276006,5.988555246138929,7.670794758756415
20191206,DIA,280.7,279.45,280.94,279.3881,2685915.0,1.5340896186556847,59.28479433512289,87.65900578059939,9.174978058568009,7.504835443584643
20191209,DIA,279.76,280.44,280.72,279.697,1204598.0,1.5112101854916773,57.87787036039573,79.15586050996926,9.174978058568009,7.316094444984838
20191210,DIA,279.46,279.69,280.14,278.63,1404982.0,1.4521313112408052,57.427917477949656,59.34933072553971,3.3232952058944414,7.332741087438773
20191211,DIA,279.72,279.13,279.9,278.65,1920758.0,1.4100366797196102,57.72258904264414,55.943645471522856,3.3232952058944574,7.871673472718427
20191212,DIA,281.95,279.52,282.95,279.24,3756675.0,1.5388794991292798,60.168787206864415,111.0317432302984,17.72710162724596,7.716636930575909
20191213,DIA,282.11,281.93,283.61,281.0,3065492.0,1.6350511724658077,60.339114418222046,132.867596260427,20.468074431117664,8.09880999160508
20191216,DIA,283.07,282.93,284.11,282.93,2115954.0,1.7683474843680074,61.3645789934643,161.8071356919294,22.557453872259632,9.042819851148458
20191217,DIA,283.4,283.19,284.0,282.91,1697707.0,1.878954595010839,61.716572805056984,153.80072420076092,22.419938368710444,8.92240622387272
20191218,DIA,283.21,283.79,283.91,283.15,1581922.0,1.9290433045457576,61.383481105090695,145.3983059517132,22.419938368710447,9.125242301500528
20191219,DIA,284.46,283.65,284.54,283.5701,1814184.0,2.0460182957249913,62.751677365599726,161.61702253898542,25.431590186833454,9.393769263862872
20191220,DIA,284.46,284.76,285.0584,284.32,3601952.0,2.114348920771704,62.75167736559973,159.51504445923447,27.893746992615924,10.122082238082967
20191223,DIA,285.33,285.34,285.66,285.15,2564640.0,2.2131908757709766,63.70936869180544,168.06681509626708,30.7310515258723,9.623662879890858
20191224,DIA,285.01,285.63,285.63,284.87,611593.0,2.2398825399354223,63.09213722939076,147.0326039015417,28.22086708682387,9.86096069256405
20191226,DIA,286.06,285.23,286.1,285.2,931454.0,2.319029769238796,64.26723487499726,149.50588887623454,30.611526638604005,10.744844259392906
20191227,DIA,286.33,286.83,286.85,285.9,1929605.0,2.376150478587647,64.56732843770462,150.7124249359477,34.34175888217453,10.369783273104588
20191230,DIA,284.53,286.34,286.41,284.1184,2551905.0,2.2502347895751313,61.032385577472084,104.95921139965432,18.205630530964115,10.3023128370521
20191231,DIA,285.1,283.91,285.31,283.56,1341279.0,2.1714092806385565,61.718946482372246,87.74817905469097,13.632741164202255,10.209695145589897
20200102,DIA,288.62,286.44,288.63,286.15,3864346.0,2.365703719156784,65.59177753918809,153.20445478344612,30.677256059056297,11.03242320885007
20200103,DIA,286.32,285.34,287.11,285.18,3296434.0,2.307493336580876,61.393460660337,104.21647289517372,23.090479079121916,10.78650775560336
20200106,DIA,286.98,284.29,287.03,284.16,1644839.0,2.288240263775549,62.11332663183221,93.89561454011915,15.549666597246903,11.53012927045853
20200107,DIA,285.74,286.3,286.7873,285.58,1412987.0,2.148161756434888,59.94104520416003,87.53766176999295,15.549666597246894,12.40820220860283
20200108,DIA,287.4,285.32,288.67,285.0825,3136036.0,2.146354814712879,61.79159130943969,104.78829740115792,25.213023065286965,12.69684035397755
20200109,DIA,289.56,288.95,289.84,288.43,1782310.0,2.2927869280108553,64.02840063083656,145.4965357967727,30.496295657067957,12.808130262423404
20200110,DIA,288.24,289.96,290.043,287.84,2989405.0,2.27608517144364,61.74331036280907,123.111445275426,25.70918042942217,13.212083894529407
20200113,DIA,289.02,288.79,289.08,288.14,1463091.0,2.2992836793018228,62.56009833665473,115.66316623768353,25.709180429422172,15.252424441540981
20200114,DIA,289.22,288.87,290.49,288.72,2197320.0,2.3072109013639306,62.7709333545542,122.10963236998873,32.47378758939837,13.993417408811347
20200115,DIA,290.35,289.01,291.242,288.9527,2189922.0,2.377271136297338,63.95724218742903,129.62373059866266,35.80623061488718,13.06566993775671
20200116,DIA,292.93,291.63,292.97,291.47,2180834.0,2.610882190603661,66.48004637987809,173.63008035866036,42.74658051635351,13.097907970254354
20200117,DIA,293.27,293.52,293.61,292.79,2146118.0,2.791279658329586,66.7968768447632,180.08326142370285,45.09668404855234,13.884450914903006
20200121,DIA,291.83,292.44,293.28,291.37,4474561.0,2.7859354560256975,64.14065850031128,147.32625164220136,32.22403207190328,14.950990860845536
20200122,DIA,291.81,292.5,293.0693,291.58,2072664.0,2.748404409137663,64.1040329863138,136.29381048756602,32.22403207190327,15.59015560303704
20200123,DIA,291.54,290.75,291.86,289.6,1868931.0,2.6661404332665484,63.59687517792205,101.63232734801144,15.848177127638483,16.63817744820927
20200124,DIA,289.8,292.54,292.77,288.34,3608923.0,2.4325018147548008,60.41062527637186,79.40620504172453,6.846509446485767,15.957195248930013
20200127,DIA,285.36,284.85,286.645,283.86,4123009.0,1.8675427624763756,53.3544166554357,-42.63847513438667,17.513948623836516,14.612220787947606
20200128,DIA,287.29,286.22,288.19,285.75,2988840.0,1.557588601717157,55.68215576794535,-3.908021573641381,8.402671376351256,16.69821605744537
20200129,DIA,287.29,288.99,289.28,287.2139,2123320.0,1.2969967253193317,55.68215576794535,13.79722995472223,2.414255344924323,17.07027043474006
20200130,DIA,288.54,285.67,288.77,284.85,3409212.0,1.1777638110438602,57.1637670112357,-4.679443049606384,13.492976860722896,16.696256592080445
20200131,DIA,282.42,286.96,287.23,281.61,4882715.0,0.5827207720981846,48.8861367695421,-108.49504127710438,25.83001876479128,18.453396818987315
20200203,DIA,283.98,283.69,286.26,283.5006,3154763.0,0.23432271284332273,50.76608540408534,-87.2863885992391,25.830018764791284,21.254018872479705
20200204,DIA,288.04,287.68,289.0,287.4238,2990277.0,0.2825655699759295,55.20206894235029,12.661886717236852,10.58929146110403,23.817118942325422
20200205,DIA,292.86,290.76,293.04,289.95,3282464.0,0.7016439843108628,59.66529333765737,116.55341335311694,7.138396816080772,18.977590688714656
20200206,DIA,293.74,294.02,294.14,292.45,2834142.0,1.0921852606779794,60.41025236830132,144.85423651759805,11.277878496501668,20.600668658616726
