tic,gvkey,latest_date,count_gvkeys
TXT,10519,2025-07-28,1
TYL,10789,2025-07-28,1
UA,165052,2025-07-28,1
UAA,165052,2025-07-28,1
UAL,10795,2025-07-28,1
UBER,35077,2025-07-28,1
UCC,176622,2025-07-28,1
UCL,36444,2025-07-28,1
UDR,10894,2025-07-28,1
UHS,11032,2025-07-28,1
UIS,2504,2025-07-28,1
UK,35959,2025-07-28,1
ULTA,178704,2025-07-28,1
UNH,10903,2025-07-28,1
UNM,12726,2025-07-28,1
UNP,10867,2025-07-28,1
UPC,36860,2025-07-28,1
UPS,10920,2025-07-28,1
URBN,29150,2025-07-28,1
URI,66065,2025-07-28,1
USB,4723,2025-07-28,1
USBC,266278,2025-05-13,1
UST,184173,2025-07-28,1
V,179534,2025-07-28,1
VFC,11060,2025-07-28,1
VIAV,29241,2025-07-28,1
VICI,32580,2025-07-28,1
VLO,15247,2025-07-28,1
VLTO,43197,2025-07-28,1
VMC,11228,2025-07-28,1
VNO,11220,2025-07-28,1
VNT,36203,2025-07-28,1
VO,158555,2025-07-28,1
VRSK,180652,2025-07-28,1
VRSN,66368,2025-07-28,1
VRTS,25030,2025-07-28,1
VRTX,24344,2025-07-28,1
VST,157373,2025-07-28,1
VTR,110179,2025-07-28,1
VTRS,7637,2025-07-28,1
VZ,2136,2025-07-28,1
WAB,60979,2025-07-28,1
WAI,41918,2025-07-28,1
WAT,61574,2025-07-28,1
WB,20004,2025-07-28,1
WBA,11264,2025-07-28,1
WBD,164296,2025-07-28,1
WDAY,15044,2025-07-28,1
WDC,11399,2025-07-28,1
WEC,11550,2025-07-28,1
WELL,5543,2025-07-28,1
WEN,3708,2025-07-28,1
WFC,8007,2025-07-28,1
WHR,11465,2025-07-28,1
WM,14477,2025-07-28,1
WMB,11506,2025-07-28,1
WMT,11259,2025-07-28,1
WOR,11600,2025-07-28,1
WRB,14822,2025-07-28,1
WSM,11511,2025-07-28,1
WST,11376,2025-07-28,1
WTW,144009,2025-07-28,1
WU,175263,2025-07-28,1
WY,11456,2025-07-28,1
WYNN,149318,2025-07-28,1
X,23978,2025-06-23,1
XEL,7977,2025-07-28,1
XOM,4503,2025-07-28,1
XRAY,13700,2025-07-28,1
XRX,11636,2025-07-28,1
XYL,189491,2025-07-28,1
YUM,65417,2025-07-28,1
ZBH,144559,2025-07-28,1
ZBRA,24405,2025-07-28,1
ZION,11687,2025-07-28,1
ZTS,13721,2025-07-28,1
